,2017,2018,2019,2020,2021,2022,2023
Western Australia,50.1,45.5,45.5,65.4,75.1,82.2,86.3
Northern Territory ,21.3,26.1,27.9,27.7,35,36.5,46.8
Tasmania,21,20,21.1,19.6,17.7,18.1,15.7
Australian Capital Territory ,0,20.4,41.7,34.7,13,10.3,13.2
Queensland ,18.3,29.9,37.1,33.3,37.1,95.8,75.6
New South Wales,153.2,208.8,314.6,273.4,232.4,173.7,246.5
South Australia,22.8,21,18.3,10.2,10.6,17.6,23.6
Victoria ,0,30.2,30.4,40.92,0,0,30.99
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
